RowId,index,ra,dec,type,const,mag,name,rarad,decrad,bf,bayer,flam,spect,lum,ci,gl,comp,hyg_id,comp_primary,base,id,r1,r2,angle,dso_source,id1,cat1,id2,cat2,dupid,dupcat,display_mag
STAR-3921,,6.367028,44.058515,Star,Aur,6.88,,,,,,,G5,16.24800335227319,1.02,,1,30194,30194,,,,,,,,,,,,,
STAR-3922,,6.367654,59.372099,Star,Lyn,6.05,,,,4    Lyn,,4.0,A3V,76.70081876935099,0.153,,1,30199,30199,,,,,,,,,,,,,
STAR-3923,,6.368364,-15.663434,Star,CMa,6.51,,,,,,,K0III,56.02733947937969,1.15,,1,30203,30203,,,,,,,,,,,,,
STAR-3924,,6.368564,-33.4364,Star,Col,3.85,,,,Del Col,Del,,G7II,129.30043917962797,0.858,,1,30204,30204,,,,,,,,,,,,,
STAR-3925,,6.373111,-45.960338,Star,Pup,6.84,,,,,,,B8IV,114.39314495393072,-0.104,,1,30226,30226,,,,,,,,,,,,,
STAR-3926,,6.375263,-60.218652,Star,Pic,6.53,,,,,,,G1V,1.2033722711826842,0.614,,1,30241,30241,,,,,,,,,,,,,
STAR-3927,,6.376776,12.570237,Star,Ori,6.0,,,,,,,F0III,16.90440931643263,0.319,,1,30245,30245,,,,,,,,,,,,,
STAR-3928,,6.37729,-69.984043,Star,Dor,5.56,,,,Pi 1Dor,Pi-1,,K5III,187.24058959867975,1.51,,1,30248,30248,,,,,,,,,,,,,
STAR-3929,,6.378329,-17.955918,Star,CMa,1.98,Mirzam,,,2Bet CMa,Bet,2.0,B1II/III,3209.223768048436,-0.24,,1,30251,30251,,,,,,,,,,,,,
STAR-3930,,6.379234,4.210333,Star,Mon,6.89,,,,,,,A3,15.936758810287666,0.11,,1,30255,30255,,,,,,,,,,,,,
STAR-3931,,6.380452,17.574092,Star,Gem,6.92,,,,,,,A0,157.61589049638374,0.022,,1,30260,30260,,,,,,,,,,,,,
STAR-3932,,6.381993,-45.628894,Star,Pup,6.73,,,,,,,K1III,100.36909309200966,1.139,,1,30266,30266,,,,,,,,,,,,,
STAR-3933,,6.382179,-56.369969,Star,Pic,5.6,,,,Nu  Pic,Nu,,Am,11.673470764921923,0.242,,1,30269,30269,,,,,,,,,,,,,
STAR-3934,,6.382673,22.513586,Star,Gem,2.87,,,,13Mu  Gem,Mu,13.0,M3IIIvar,312.4640085806112,1.621,,1,30270,30270,,,,,,,,,,,,,
